Seed,P1,P2
1,Shaun Jones,Lindsay October
2,Cowen Lodewyk ,Cuten Lodewyk 
3,Jodie Galant ,Keenen Jooste 
4,Darren Rogers ,Adrian Philander 
5,Dirk Coetzee ,David Nwafor 
6,Tayla Bailey ,Jade Sasman 
7,Mekhail Schroeder ,Nizaam Moosa 
8,Tian Louw ,Joshua Du Plooy 
9,Craig Fortuin ,Saaliegh Jabaar 
10,Darren Orr ,Kirshwan Steyn 
11,Le Roux Strydom ,DJ Swanevelder 
12,Michael Mackrill ,Jordan Mackrill 
13,Timothy-John Sabad ,Amien Phillips 
14,Lorenzo Haupt ,Ashley Wesson 
15,Llewellyn Bartlett ,Craig Zimri 
16,Kamiel Ebrahim,Rafiek Tofa
17,Gajen Chetty,Cetinhan Celik
18,Westley Mcloud ,Andre Johnson 
19,Duwayne Petersen ,Steffan Brundyn 
20,Bye,Bye
21,Bye,Bye
22,Bye,Bye
23,Bye,Bye
24,Bye,Bye
25,Bye,Bye
26,Bye,Bye
27,Bye,Bye
28,Bye,Bye
29,Bye,Bye
30,Bye,Bye
31,Bye,Bye
32,Bye,Bye